point,parameter,parameter_value,is_baseline,group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
baseline,baseline,baseline,true,all,all,0,95,0.075,0.124,0.000,0.000,0.000,0.000,0.000,0.252,1.812
baseline,baseline,baseline,true,all,all,1,95,0.088,0.135,0.035,0.035,0.034,0.003,0.033,0.306,2.330
baseline,baseline,baseline,true,all,all,2,95,0.104,0.148,0.063,0.063,0.061,0.004,0.057,0.361,2.842
baseline,baseline,baseline,true,all,all,3,95,0.120,0.162,0.084,0.084,0.081,0.007,0.076,0.412,3.323
baseline,baseline,baseline,true,all,all,4,95,0.133,0.176,0.102,0.101,0.097,0.008,0.095,0.451,3.694
baseline,baseline,baseline,true,all,all,5,95,0.147,0.187,0.117,0.116,0.111,0.011,0.113,0.479,3.964
baseline,baseline,baseline,true,all,all,6,95,0.163,0.202,0.130,0.131,0.125,0.012,0.129,0.505,4.216
baseline,baseline,baseline,true,all,all,7,95,0.178,0.214,0.143,0.144,0.137,0.014,0.143,0.522,4.382
baseline,baseline,baseline,true,all,all,8,95,0.191,0.227,0.152,0.154,0.144,0.017,0.159,0.535,4.519
baseline,baseline,baseline,true,all,all,9,95,0.206,0.241,0.162,0.164,0.154,0.018,0.173,0.546,4.637
baseline,baseline,baseline,true,all,all,10,95,0.223,0.261,0.169,0.171,0.161,0.019,0.186,0.557,4.753
baseline,baseline,baseline,true,all,all,11,95,0.238,0.281,0.177,0.179,0.167,0.021,0.204,0.564,4.843
baseline,baseline,baseline,true,all,all,12,95,0.254,0.299,0.187,0.191,0.177,0.024,0.221,0.571,4.935
baseline,baseline,baseline,true,all,all,13,95,0.268,0.314,0.191,0.197,0.181,0.026,0.234,0.575,4.989
baseline,baseline,baseline,true,all,all,14,95,0.285,0.332,0.196,0.200,0.185,0.027,0.250,0.581,5.070
baseline,baseline,baseline,true,all,all,15,95,0.299,0.350,0.208,0.212,0.195,0.029,0.263,0.584,5.132
baseline,baseline,baseline,true,all,all,16,95,0.309,0.365,0.218,0.223,0.206,0.029,0.283,0.586,5.186
baseline,baseline,baseline,true,all,all,17,95,0.322,0.381,0.232,0.236,0.219,0.030,0.296,0.590,5.243
baseline,baseline,baseline,true,all,all,18,95,0.339,0.397,0.239,0.240,0.224,0.030,0.309,0.593,5.302
baseline,baseline,baseline,true,all,all,19,95,0.352,0.420,0.248,0.249,0.232,0.033,0.320,0.597,5.364
baseline,baseline,baseline,true,all,all,20,95,0.368,0.440,0.255,0.257,0.238,0.036,0.336,0.600,5.435
baseline,baseline,baseline,true,all,all,21,95,0.385,0.461,0.262,0.263,0.242,0.041,0.352,0.604,5.513
baseline,baseline,baseline,true,all,all,22,95,0.398,0.478,0.266,0.267,0.246,0.040,0.365,0.607,5.567
baseline,baseline,baseline,true,all,all,23,95,0.410,0.487,0.273,0.274,0.251,0.044,0.381,0.609,5.616
baseline,baseline,baseline,true,all,all,24,95,0.423,0.510,0.277,0.280,0.256,0.046,0.389,0.612,5.670
baseline,baseline,baseline,true,all,all,25,95,0.438,0.529,0.282,0.286,0.262,0.045,0.402,0.614,5.722
baseline,baseline,baseline,true,all,all,26,95,0.445,0.544,0.284,0.289,0.265,0.043,0.417,0.615,5.772
baseline,baseline,baseline,true,all,all,27,95,0.450,0.555,0.289,0.296,0.271,0.043,0.437,0.615,5.808
baseline,baseline,baseline,true,all,all,28,95,0.462,0.566,0.293,0.297,0.274,0.041,0.438,0.618,5.847
baseline,baseline,baseline,true,all,all,29,95,0.467,0.573,0.296,0.302,0.278,0.042,0.454,0.619,5.891
baseline,baseline,baseline,true,all,all,30,95,0.474,0.584,0.300,0.304,0.282,0.040,0.462,0.619,5.911
baseline,baseline,baseline,true,all,all,31,95,0.483,0.596,0.305,0.308,0.288,0.038,0.476,0.622,5.983
baseline,baseline,baseline,true,all,all,32,95,0.493,0.604,0.312,0.314,0.293,0.039,0.491,0.623,6.019
baseline,baseline,baseline,true,all,all,33,95,0.499,0.609,0.320,0.320,0.299,0.043,0.504,0.624,6.053
baseline,baseline,baseline,true,all,all,34,95,0.509,0.613,0.330,0.330,0.308,0.044,0.512,0.625,6.088
baseline,baseline,baseline,true,all,all,35,95,0.516,0.623,0.334,0.335,0.313,0.042,0.524,0.627,6.134
baseline,baseline,baseline,true,all,all,36,95,0.523,0.632,0.344,0.345,0.324,0.042,0.540,0.628,6.183
baseline,baseline,baseline,true,all,all,37,95,0.526,0.641,0.347,0.345,0.325,0.042,0.556,0.629,6.237
baseline,baseline,baseline,true,all,all,38,95,0.526,0.649,0.349,0.352,0.329,0.043,0.564,0.629,6.255
baseline,baseline,baseline,true,all,all,39,95,0.533,0.654,0.357,0.359,0.336,0.044,0.572,0.630,6.283
baseline,baseline,baseline,true,all,all,40,95,0.543,0.655,0.364,0.366,0.344,0.042,0.576,0.631,6.313
baseline,baseline,baseline,true,all,all,41,95,0.549,0.662,0.367,0.371,0.349,0.039,0.579,0.631,6.316
baseline,baseline,baseline,true,all,all,42,95,0.554,0.672,0.379,0.380,0.360,0.040,0.593,0.632,6.364
baseline,baseline,baseline,true,all,all,43,95,0.561,0.670,0.390,0.392,0.372,0.037,0.597,0.633,6.388
baseline,baseline,baseline,true,all,all,44,95,0.570,0.675,0.395,0.398,0.376,0.041,0.602,0.634,6.410
baseline,baseline,baseline,true,all,all,45,95,0.572,0.680,0.403,0.405,0.384,0.039,0.614,0.634,6.440
baseline,baseline,baseline,true,all,all,46,95,0.581,0.680,0.411,0.413,0.392,0.039,0.617,0.633,6.439
baseline,baseline,baseline,true,all,all,47,95,0.588,0.685,0.422,0.425,0.403,0.041,0.628,0.636,6.507
baseline,baseline,baseline,true,all,all,48,95,0.592,0.691,0.433,0.437,0.414,0.041,0.639,0.635,6.529
baseline,baseline,baseline,true,all,all,49,95,0.600,0.687,0.438,0.443,0.421,0.039,0.644,0.635,6.545
baseline,baseline,baseline,true,all,all,50,95,0.602,0.693,0.449,0.452,0.430,0.040,0.651,0.636,6.575
baseline,baseline,baseline,true,all,all,51,95,0.605,0.694,0.458,0.460,0.438,0.041,0.660,0.637,6.598
baseline,baseline,baseline,true,all,all,52,95,0.605,0.697,0.471,0.472,0.451,0.041,0.669,0.637,6.624
baseline,baseline,baseline,true,all,all,53,95,0.607,0.702,0.476,0.477,0.457,0.040,0.676,0.636,6.640
baseline,baseline,baseline,true,all,all,54,95,0.610,0.708,0.485,0.485,0.465,0.041,0.679,0.637,6.657
baseline,baseline,baseline,true,all,all,55,95,0.613,0.710,0.495,0.496,0.475,0.041,0.684,0.640,6.710
baseline,baseline,baseline,true,all,all,56,95,0.619,0.713,0.500,0.500,0.481,0.039,0.691,0.639,6.720
baseline,baseline,baseline,true,all,all,57,95,0.620,0.707,0.510,0.511,0.491,0.040,0.698,0.638,6.725
baseline,baseline,baseline,true,all,all,58,95,0.623,0.710,0.518,0.517,0.496,0.042,0.703,0.636,6.720
baseline,baseline,baseline,true,all,all,59,95,0.631,0.716,0.529,0.528,0.509,0.040,0.711,0.640,6.797
baseline,baseline,baseline,true,all,all,60,95,0.639,0.725,0.535,0.536,0.516,0.039,0.721,0.644,6.869
baseline,baseline,baseline,true,all,all,61,95,0.646,0.726,0.541,0.541,0.523,0.036,0.723,0.644,6.881
baseline,baseline,baseline,true,all,all,62,95,0.655,0.730,0.554,0.552,0.536,0.035,0.724,0.646,6.905
baseline,baseline,baseline,true,all,all,63,95,0.659,0.733,0.566,0.564,0.549,0.033,0.730,0.645,6.917
baseline,baseline,baseline,true,all,all,64,95,0.662,0.738,0.572,0.570,0.554,0.034,0.725,0.647,6.938
baseline,baseline,baseline,true,all,all,65,95,0.661,0.742,0.586,0.585,0.568,0.035,0.734,0.649,6.982
baseline,baseline,baseline,true,all,all,66,95,0.667,0.738,0.598,0.598,0.580,0.035,0.740,0.649,7.004
baseline,baseline,baseline,true,all,all,67,95,0.677,0.742,0.604,0.605,0.588,0.034,0.747,0.650,7.047
baseline,baseline,baseline,true,all,all,68,95,0.675,0.745,0.609,0.611,0.595,0.030,0.752,0.652,7.083
baseline,baseline,baseline,true,all,all,69,95,0.672,0.748,0.614,0.617,0.602,0.028,0.752,0.653,7.103
baseline,baseline,baseline,true,all,all,70,95,0.669,0.747,0.621,0.627,0.609,0.029,0.752,0.653,7.111
baseline,baseline,baseline,true,all,all,71,95,0.669,0.749,0.623,0.629,0.613,0.026,0.756,0.652,7.110
baseline,baseline,baseline,true,all,all,72,95,0.673,0.756,0.629,0.635,0.619,0.026,0.760,0.654,7.157
baseline,baseline,baseline,true,all,all,73,95,0.673,0.758,0.637,0.642,0.626,0.026,0.767,0.655,7.181
baseline,baseline,baseline,true,all,all,74,95,0.670,0.755,0.636,0.643,0.626,0.026,0.769,0.653,7.156
baseline,baseline,baseline,true,all,all,75,95,0.675,0.758,0.643,0.649,0.632,0.028,0.769,0.655,7.192
baseline,baseline,baseline,true,all,all,76,95,0.678,0.760,0.647,0.652,0.636,0.028,0.771,0.655,7.201
baseline,baseline,baseline,true,all,all,77,95,0.675,0.759,0.653,0.655,0.641,0.027,0.772,0.656,7.207
baseline,baseline,baseline,true,all,all,78,95,0.677,0.765,0.656,0.659,0.645,0.025,0.774,0.657,7.235
baseline,baseline,baseline,true,all,all,79,95,0.680,0.764,0.665,0.668,0.655,0.024,0.779,0.654,7.218
baseline,baseline,baseline,true,all,all,80,95,0.679,0.764,0.671,0.672,0.660,0.022,0.779,0.655,7.235
baseline,baseline,baseline,true,all,all,81,95,0.679,0.763,0.670,0.673,0.659,0.024,0.780,0.657,7.263
baseline,baseline,baseline,true,all,all,82,95,0.682,0.767,0.671,0.672,0.658,0.026,0.786,0.657,7.272
baseline,baseline,baseline,true,all,all,83,95,0.682,0.765,0.679,0.683,0.668,0.025,0.788,0.658,7.287
baseline,baseline,baseline,true,all,all,84,95,0.677,0.764,0.688,0.691,0.677,0.025,0.791,0.659,7.302
baseline,baseline,baseline,true,all,all,85,95,0.676,0.765,0.699,0.698,0.685,0.026,0.793,0.658,7.303
baseline,baseline,baseline,true,all,all,86,95,0.676,0.769,0.704,0.702,0.689,0.028,0.799,0.660,7.343
baseline,baseline,baseline,true,all,all,87,95,0.682,0.767,0.706,0.704,0.691,0.028,0.801,0.659,7.335
baseline,baseline,baseline,true,all,all,88,95,0.684,0.767,0.712,0.708,0.696,0.027,0.804,0.659,7.352
baseline,baseline,baseline,true,all,all,89,95,0.689,0.766,0.711,0.707,0.696,0.027,0.806,0.659,7.360
baseline,baseline,baseline,true,all,all,90,95,0.690,0.766,0.722,0.717,0.706,0.027,0.805,0.661,7.387
baseline,baseline,baseline,true,all,all,91,95,0.694,0.764,0.733,0.728,0.717,0.027,0.810,0.662,7.405
baseline,baseline,baseline,true,all,all,92,95,0.700,0.765,0.735,0.727,0.717,0.027,0.810,0.662,7.410
baseline,baseline,baseline,true,all,all,93,95,0.707,0.768,0.740,0.733,0.722,0.028,0.811,0.664,7.431
baseline,baseline,baseline,true,all,all,94,95,0.710,0.770,0.741,0.735,0.724,0.028,0.807,0.666,7.452
baseline,baseline,baseline,true,all,all,95,95,0.712,0.767,0.746,0.738,0.728,0.028,0.807,0.667,7.470
baseline,baseline,baseline,true,all,all,96,95,0.710,0.774,0.744,0.736,0.726,0.028,0.810,0.665,7.444
baseline,baseline,baseline,true,all,all,97,95,0.717,0.780,0.745,0.740,0.729,0.027,0.815,0.669,7.516
baseline,baseline,baseline,true,all,all,98,95,0.718,0.778,0.743,0.739,0.728,0.026,0.812,0.667,7.488
baseline,baseline,baseline,true,all,all,99,95,0.721,0.782,0.743,0.741,0.729,0.025,0.812,0.667,7.499
